"valA";"valB";"valC";"valD";"dateA";"dtA";"dtB";"dtC";"dtD";"dtE";"dtF";"dateB";"dtG";"dtH";"dtI";"dtJ";"valE";"valF";"valG";"valH";"valI";"valJ";"valH";"valI";"valJ";"valK";"valL";"valM";"valN";"valO";"calc_DtBmDtA";"calc_DtCmDtB";"calc_DtDmDtC";"calc_DtFmDtD";"calc_DtHmDtG";"calc_DtImDtG";"calc_DtJmDtG";"calc_DtImDtH";"calc_DtJmDtI"
932.2;3329.7;940.8;1333.9;"1980-01-22";"1980-01-22 10:25:00";"1980-01-22 11:00:00";"1980-01-22 12:00:00";"1980-01-22 12:50:00";"1980-01-22 09:10:00";"1980-01-22 13:45:00";"1980-01-29";"1980-01-29 04:35:00";"1980-01-29 05:35:00";"1980-01-29 06:10:00";"1980-01-29 09:20:00";68.8;24.7;3186.9;34.3;1.6;6.7;25.7;6.0;2373.5;71.9;80.6;81.1;62.3;29.3;35;60;50;55;60;95;285;35;190
987.4;3553.7;991.7;1415.9;"1980-01-26";"1980-01-26 10:01:00";"1980-01-26 10:30:00";"1980-01-26 11:30:00";"1980-01-26 11:50:00";"1980-01-26 10:05:00";"1980-01-26 14:35:00";"1980-02-02";"1980-02-02 07:25:00";"1980-02-02 09:13:00";"1980-02-02 09:47:00";"1980-02-02 13:05:00";68.8;24.2;3403.7;34.0;1.6;6.7;25.7;6.0;2277.5;71.5;80.2;80.8;31.4;29.3;29;60;20;165;108;142;340;34;198
1033.0;3653.7;1113.2;1581.9;"1980-01-27";"1980-01-27 09:15:00";"1980-01-27 09:43:00";"1980-01-27 10:43:00";"1980-01-27 11:00:00";"1980-01-27 09:40:00";"1980-01-27 13:35:00";"1980-02-03";"1980-02-03 06:10:00";"1980-02-03 06:50:00";"1980-02-03 07:25:00";"1980-02-03 11:00:00";68.6;23.2;3497.9;34.5;1.7;6.7;25.7;6.0;2217.5;72.0;80.3;81.1;31.4;29.3;28;60;17;155;40;75;290;35;215
993.1;3573.7;993.1;1411.9;"1980-01-29";"1980-01-29 06:25:00";"1980-01-29 06:55:00";"1980-01-29 07:55:00";"1980-01-29 09:00:00";"1980-01-29 07:50:00";"1980-01-29 11:40:00";"1980-02-05";"1980-02-05 07:15:00";"1980-02-05 07:45:00";"1980-02-05 08:20:00";"1980-02-05 11:42:00";68.3;22.3;3422.9;34.0;1.6;6.7;25.7;6.0;2357.5;71.8;80.7;81.2;31.7;29.3;30;60;65;160;30;65;267;35;202
957.4;3373.7;995.9;1411.9;"1980-02-02";"1980-02-02 08:40:00";"1980-02-02 09:10:00";"1980-02-02 10:10:00";"1980-02-02 10:50:00";"1980-02-02 09:20:00";"1980-02-02 12:55:00";"1980-02-09";"1980-02-09 05:50:00";"1980-02-09 06:25:00";"1980-02-09 07:00:00";"1980-02-09 10:12:00";68.3;23.5;3227.7;34.7;1.6;6.7;25.7;6.0;2357.5;72.0;80.2;81.2;31.7;29.3;30;60;40;125;35;70;262;35;192
914.0;3373.7;911.1;1301.9;"1980-02-03";"1980-02-03 07:25:00";"1980-02-03 07:55:00";"1980-02-03 08:55:00";"1980-02-03 09:33:00";"1980-02-03 07:10:00";"1980-02-03 11:00:00";"1980-02-10";"1980-02-10 05:40:00";"1980-02-10 06:10:00";"1980-02-10 06:40:00";"1980-02-10 09:50:00";68.4;23.4;3233.0;33.3;1.5;6.7;25.7;6.0;2057.5;71.3;80.1;81.3;32.3;29.3;30;60;38;87;30;60;250;30;190
980.4;3473.7;975.2;1381.9;"1980-02-04";"1980-02-04 06:40:00";"1980-02-04 07:10:00";"1980-02-04 08:10:00";"1980-02-04 08:30:00";"1980-02-04 07:16:00";"1980-02-04 10:43:00";"1980-02-10";"1980-02-10 14:20:00";"1980-02-10 15:35:00";"1980-02-10 16:00:00";"1980-02-10 19:15:00";68.0;23.1;3324.7;34.5;1.6;6.7;25.7;6.0;2057.5;72.0;80.0;80.3;31.1;29.3;30;60;20;133;75;100;295;25;195
941.9;3373.7;1006.9;1431.9;"1980-02-04";"1980-02-04 09:30:00";"1980-02-04 09:55:00";"1980-02-04 10:55:00";"1980-02-04 11:15:00";"1980-02-04 15:05:00";"1980-02-04 19:10:00";"1980-02-11";"1980-02-11 07:40:00";"1980-02-11 08:15:00";"1980-02-11 08:50:00";"1980-02-11 12:12:00";68.3;23.8;3229.6;34.2;1.6;6.7;25.7;6.0;2057.5;71.8;80.5;81.3;32.3;29.3;25;60;20;475;35;70;272;35;202
808.0;3273.7;865.7;1231.9;"1980-02-05";"1980-02-05 08:08:00";"1980-02-05 08:34:00";"1980-02-05 09:34:00";"1980-02-05 09:55:00";"1980-02-05 11:50:00";"1980-02-05 15:35:00";"1980-02-11";"1980-02-11 04:50:00";"1980-02-11 06:15:00";"1980-02-11 06:50:00";"1980-02-11 10:00:00";64.8;22.6;3145.7;30.7;1.4;6.7;25.2;6.1;2257.5;71.5;80.2;80.1;31.2;29.5;26;60;21;340;85;120;310;35;190
656.4;3073.7;668.7;961.9;"1980-02-09";"1980-02-09 07:15:00";"1980-02-09 07:45:00";"1980-02-09 08:45:00";"1980-02-09 10:10:00";"1980-02-09 09:00:00";"1980-02-09 12:25:00";"1980-02-16";"1980-02-16 06:00:00";"1980-02-16 06:34:00";"1980-02-16 07:07:00";"1980-02-16 09:45:00";63.3;22.9;2963.6;27.1;1.1;6.7;25.5;6.0;2057.5;70.2;78.0;79.0;32.2;29.5;30;60;85;135;34;67;225;33;158
